id,b,c,v,t
28001001,28,1,1,"The word of Yahweh that came to Hosea the son of Beeri, in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah, and in the days of Jeroboam the son of Joash, king of Israel."
28001002,28,1,2,"When Yahweh spoke at the first by Hosea, Yahweh said to Hosea, ""Go, take for yourself a wife of prostitution and children of unfaithfulness; for the land commits great adultery against from Yahweh."""
28001003,28,1,3,"So he went and took Gomer the daughter of Diblaim; and she conceived, and bore him a son."
28001004,28,1,4,"Yahweh said to him, ""Call his name Jezreel; for yet a little while, and I will avenge the blood of Jezreel on the house of Jehu, and will cause the kingdom of the house of Israel to cease."
28001005,28,1,5,"It will happen in that day that I will break the bow of Israel in the valley of Jezreel."""
28001006,28,1,6,"She conceived again, and bore a daughter. Then he said to him, ""Call her name Lo-Ruhamah{Lo-Ruhamah means ""not loved.""}; for I will no longer have mercy on the house of Israel, that I should in any way pardon them."
28001007,28,1,7,"But I will have mercy on the house of Judah, and will save them by Yahweh their God, and will not save them by bow, nor by sword, nor by battle, by horses, nor by horsemen."""
28001008,28,1,8,"Now when she had weaned Lo-Ruhamah, she conceived, and bore a son."
28001009,28,1,9,"He said, ""Call his name Lo-Ammi{Lo-Ammi means ""not my people""}; for you are not my people, and I will not be yours."
28001010,28,1,10,"Yet the number of the children of Israel will be as the sand of the sea, which can't be measured nor numbered; and it will come to pass that, in the place where it was said to them, 'You are not my people,' they will be called 'sons of the living God.'"
28001011,28,1,11,"The children of Judah and the children of Israel will be gathered together, and they will appoint themselves one head, and will go up from the land; for great will be the day of Jezreel."
28002001,28,2,1,"""Say to your brothers, 'My people!'{'Ammi' in Hebrew} And to your sisters, 'My loved one!'{'Ruhamah' in Hebrew}"
28002002,28,2,2,"Contend with your mother! Contend, for she is not my wife, Neither am I her husband; And let her put away her prostitution from her face, And her adulteries from between her breasts;"
28002003,28,2,3,"Lest I strip her naked, And make her bare as in the day that she was born, And make her like a wilderness, And set her like a dry land, And kill her with thirst."
28002004,28,2,4,"Indeed, on her children I will have no mercy; For they are children of unfaithfulness;"
28002005,28,2,5,"For their mother has played the prostitute. She who conceived them has done shamefully; For she said, 'I will go after my lovers, Who give me my bread and my water, My wool and my flax, My oil and my drink.'"
28002006,28,2,6,"Therefore, behold, I will hedge up your way with thorns, And I will build a wall against her, That she can't find her way."
28002007,28,2,7,"She will follow after her lovers, But she won't overtake them; And she will seek them, But won't find them. Then she will say, 'I will go and return to my first husband; For then was it better with me than now.'"
28002008,28,2,8,"For she did not know that I gave her the grain, the new wine, and the oil, And multiplied to her silver and gold, which they used for Baal."
28002009,28,2,9,"Therefore I will take back my grain in its time, And my new wine in its season, And will pluck away my wool and my flax which should have covered her nakedness."
28002010,28,2,10,"Now I will uncover her lewdness in the sight of her lovers, And no one will deliver her out of my hand."
28002011,28,2,11,"I will also cause all her celebrations to cease: Her feasts, her new moons, her Sabbaths, and all her solemn assemblies."
28002012,28,2,12,"I will lay waste her vines and her fig trees, About which she has said, 'These are my wages that my lovers have given me; And I will make them a forest,' And the animals of the field shall eat them."
28002013,28,2,13,"I will visit on her the days of the Baals, To which she burned incense, When she decked herself with her earrings and her jewels, And went after her lovers, And forgot me,"" says Yahweh."
28002014,28,2,14,"""Therefore, behold, I will allure her, And bring her into the wilderness, And speak tenderly to her."
28002015,28,2,15,"I will give her vineyards from there, And the valley of Achor for a door of hope; And she will respond there, As in the days of her youth, And as in the day when she came up out of the land of Egypt."
28002016,28,2,16,"It will be in that day,"" says Yahweh, ""That you will call me 'my husband,' And no longer call me 'my master.'"
28002017,28,2,17,"For I will take away the names of the Baals out of her mouth, And they will no more be mentioned by their name."
28002018,28,2,18,"In that day I will make a covenant for them with the animals of the field, And with the birds of the sky, And with the creeping things of the ground. I will break the bow, the sword, and the battle out of the land, And will make them lie down safely."
28002019,28,2,19,"I will betroth you to me forever. Yes, I will betroth you to me in righteousness, in justice, in loving kindness, and in compassion."
28002020,28,2,20,I will even betroth you to me in faithfulness; And you shall know Yahweh.
28002021,28,2,21,"It will happen in that day, I will respond,"" says Yahweh, I will respond to the heavens, And they will respond to the earth;"
28002022,28,2,22,"And the earth will respond to the grain, and the new wine, and the oil; And they will respond to Jezreel."
28002023,28,2,23,"I will sow her to me in the earth; And I will have mercy on her who had not obtained mercy; And I will tell those who were not my people, 'You are my people;' And they will say, 'My God!'"""
28003001,28,3,1,"Yahweh said to me, ""Go again, love a woman loved by another, and an adulteress, even as Yahweh loves the children of Israel, though they turn to other gods, and love cakes of raisins."""
28003002,28,3,2,So I bought her for myself for fifteen pieces of silver and a homer and a half of barley.
28003003,28,3,3,"I said to her, ""You shall stay with me many days. You shall not play the prostitute, and you shall not be with any other man. I will also be so toward you."""
28003004,28,3,4,"For the children of Israel shall abide many days without king, and without prince, and without sacrifice, and without sacred stone, and without ephod or idols."
28003005,28,3,5,"Afterward the children of Israel shall return, and seek Yahweh their God, and David their king, and shall come with trembling to Yahweh and to his blessings in the last days."
28004001,28,4,1,"Hear the word of Yahweh, you children of Israel; For Yahweh has a charge against the inhabitants of the land: ""Indeed there is no truth, Nor goodness, Nor knowledge of God in the land."
28004002,28,4,2,"There is cursing, lying, murder, stealing, and committing adultery; They break boundaries, and bloodshed causes bloodshed."
